Ticker,Ranking Value,Current Price,Market Capitalization,Shares Outstanding,Total Revenue,Revenue Growth,EBITDA Margins,Debt/Equity Ratio,FCF Margin
AAPL,5.820324570003777E11,191.24,3 Trillion,15 Billion,383 Billion,-0.01,0.33,199.42,0.21
MSFT,5.103529872943886E11,374.51,2 Trillion,7 Billion,218 Billion,0.13,0.5,47.88,0.23
AMZN,3.5178257655045636E11,147.03,1 Trillion,10 Billion,554 Billion,0.13,0.13,90.76,0.07
GOOG,3.463469923598857E11,133.32,1 Trillion,12 Billion,297 Billion,0.11,0.32,11.14,0.24
NVDA,2.0262028566935132E11,467.65,1 Trillion,2 Billion,44 Billion,2.06,0.49,33.15,0.31
WMT,1.7794492595916397E11,154.34,415 Billion,2 Billion,638 Billion,0.05,0.06,83.88,0.02
META,1.668488306622935E11,324.82,842 Billion,2 Billion,126 Billion,0.23,0.43,25.81,0.23
UNH,1.4862966978430084E11,547.16,509 Billion,930 Million,359 Billion,0.14,0.1,67.43,0.06
TSLA,1.4289477800116336E11,238.83,756 Billion,3 Billion,95 Billion,0.09,0.16,15.02,0.02
XOM,1.3260778057735632E11,102.99,420 Billion,4 Billion,350 Billion,-0.16,0.18,19.88,0.06
V,9.608721013893964E10,256.45,525 Billion,2 Billion,32 Billion,0.11,0.7,54.98,0.51
LLY,9.380420763168013E10,584.04,525 Billion,900 Million,32 Billion,0.37,0.35,179.81,0.12
JNJ,8.864365458975072E10,158.38,409 Billion,2 Billion,98 Billion,0.07,0.35,42.01,0.21
COST,8.547321351861671E10,596.25,264 Billion,443 Million,242 Billion,0.1,0.04,42.05,0.02
CVX,8.261941220691594E10,144.81,272 Billion,1 Billion,202 Billion,-0.18,0.23,12.37,0.09
HD,8.180107587611592E10,319.62,321 Billion,1 Billion,153 Billion,-0.03,0.17,3444.41,0.1
JPM,7.762185774432869E10,156.84,462 Billion,2 Billion,142 Billion,0.23,No Data,No Data,No Data
PG,7.655661714122011E10,152.66,360 Billion,2 Billion,83 Billion,0.06,0.27,74.73,0.16
AVGO,7.248943900342569E10,930.0,385 Billion,414 Million,35 Billion,0.16,0.57,166.03,0.39
MA,7.150998427308229E10,414.36,393 Billion,950 Million,24 Billion,0.14,0.61,243.94,0.41
BRK-B,6.894072008414359E10,357.07,519 Million,1 Million,349 Billion,0.21,0.31,23.34,0.18
ORCL,6.346746223369547E10,117.16,317 Billion,2 Billion,50 Billion,0.09,0.39,3130.62,0.2
ABBV,5.577203262176844E10,143.41,253 Billion,1 Billion,55 Billion,-0.06,0.51,504.43,0.44
PEP,5.5239848140936104E10,168.69,232 Billion,1 Billion,91 Billion,0.07,0.18,236.03,0.07
MRK,5.500509091568871E10,103.46,262 Billion,2 Billion,59 Billion,0.07,0.22,84.42,0.1
VZ,5.3081977293367584E10,38.58,162 Billion,4 Billion,134 Billion,-0.03,0.36,179.71,0.13
CMCSA,5.230232955249698E10,42.21,176 Billion,4 Billion,120 Billion,0.01,0.31,122.92,0.1
KO,5.1583059565459564E10,58.64,253 Billion,4 Billion,45 Billion,0.08,0.31,150.34,0.15
ADBE,5.134340226700174E10,612.47,281 Billion,459 Million,18 Billion,0.1,0.37,25.96,0.39
CRM,5.011099101033331E10,260.0,254 Billion,977 Million,33 Billion,0.11,0.25,23.69,0.34
CSCO,4.603817812687672E10,48.47,197 Billion,4 Billion,58 Billion,0.08,0.31,19.3,0.28
TMUS,4.528801589875891E10,152.25,183 Billion,1 Billion,78 Billion,-0.01,0.35,176.05,0.11
DIS,4.428127459321182E10,92.58,169 Billion,1 Billion,88 Billion,0.05,0.17,44.84,0.06
NFLX,4.299658395639037E10,465.74,206 Billion,443 Million,32 Billion,0.08,0.19,75.83,0.55
BAC,4.28952462744554E10,30.96,249 Billion,8 Billion,96 Billion,0.01,No Data,No Data,No Data
MCD,4.0137469497854195E10,285.96,208 Billion,729 Million,25 Billion,0.14,0.54,No Data,0.26
TMO,4.011561779898272E10,496.13,192 Billion,387 Million,43 Billion,-0.01,0.25,77.94,0.11
PFE,3.9434316493330574E10,28.91,162 Billion,5 Billion,68 Billion,-0.42,0.2,65.98,-0.01
INTC,3.91228775876599E10,43.74,182 Billion,4 Billion,52 Billion,-0.08,0.16,46.25,-0.08
NKE,3.862271029856483E10,113.48,174 Billion,1 Billion,51 Billion,0.02,0.13,87.16,0.07
ABT,3.815489396301295E10,104.88,182 Billion,1 Billion,39 Billion,-0.03,0.25,41.65,0.12
AMD,3.70738472311502E10,121.39,195 Billion,1 Billion,22 Billion,0.04,0.14,5.21,0.12
COP,3.492826471977186E10,115.23,140 Billion,1 Billion,61 Billion,-0.32,0.41,39.93,0.1
CAT,3.4038856350021465E10,256.76,131 Billion,514 Million,66 Billion,0.12,0.24,181.1,0.08
DHR,3.3247194428861115E10,223.48,163 Billion,733 Million,29 Billion,-0.1,0.31,44.19,0.18
PM,3.1223959893569138E10,94.05,145 Billion,1 Billion,34 Billion,0.14,0.39,No Data,0.16
AMGN,3.03389855013192E10,272.45,145 Billion,535 Million,26 Billion,0.04,0.5,789.81,0.33
INTU,3.0093576258284897E10,574.32,161 Billion,280 Million,14 Billion,0.41,0.27,No Data,0.29
WFC,2.863316830771875E10,45.02,168 Billion,3 Billion,76 Billion,0.05,No Data,No Data,No Data
TXN,2.662843736372638E10,155.21,140 Billion,907 Million,18 Billion,-0.14,0.49,67.48,-0.01
